series_id,year,period,value
LAUMT063108000000003,2024,M11,5.4
LAUMT063108000000003,2024,M10,5.6
LAUMT063108000000003,2024,M09,5.5
LAUMT063108000000003,2024,M08,6.2
LAUMT063108000000003,2024,M07,6.0
LAUMT063108000000003,2024,M06,5.5
LAUMT063108000000003,2024,M05,4.7
LAUMT063108000000003,2024,M04,4.3
LAUMT063108000000003,2024,M03,4.9
LAUMT063108000000003,2024,M02,4.8
LAUMT063108000000003,2024,M01,5.5
LAUMT063108000000003,2023,M12,4.7
LAUMT063108000000003,2023,M11,4.7
LAUMT063108000000003,2023,M10,4.8
LAUMT063108000000003,2023,M09,5.0
LAUMT063108000000003,2023,M08,5.3
LAUMT063108000000003,2023,M07,4.9
LAUMT063108000000003,2023,M06,4.7
LAUMT063108000000003,2023,M05,4.3
LAUMT063108000000003,2023,M04,4.0
LAUMT063108000000003,2023,M03,4.4
LAUMT063108000000003,2023,M02,4.7
LAUMT063108000000003,2023,M01,4.6
LAUMT063108000000003,2022,M12,4.0
LAUMT063108000000003,2022,M11,4.3
LAUMT063108000000003,2022,M10,4.2
LAUMT063108000000003,2022,M09,4.1
LAUMT063108000000003,2022,M08,4.4
LAUMT063108000000003,2022,M07,4.5
LAUMT063108000000003,2022,M06,4.5
LAUMT063108000000003,2022,M05,4.1
LAUMT063108000000003,2022,M04,4.4
LAUMT063108000000003,2022,M03,4.7
LAUMT063108000000003,2022,M02,5.3
LAUMT063108000000003,2022,M01,6.0
LAUMT063108000000003,2021,M12,5.5
LAUMT063108000000003,2021,M11,5.9
LAUMT063108000000003,2021,M10,6.6
LAUMT063108000000003,2021,M09,7.1
LAUMT063108000000003,2021,M08,8.3
LAUMT063108000000003,2021,M07,8.8
LAUMT063108000000003,2021,M06,9.3
LAUMT063108000000003,2021,M05,8.7
LAUMT063108000000003,2021,M04,9.4
LAUMT063108000000003,2021,M03,9.6
LAUMT063108000000003,2021,M02,9.8
LAUMT063108000000003,2021,M01,10.2
LAUMT063108000000003,2020,M12,10.0
LAUMT063108000000003,2020,M11,9.7
LAUMT063108000000003,2020,M10,9.8
LAUMT063108000000003,2020,M09,10.9
LAUMT063108000000003,2020,M08,15.4
LAUMT063108000000003,2020,M07,17.1
LAUMT063108000000003,2020,M06,16.6
LAUMT063108000000003,2020,M05,18.0
LAUMT063108000000003,2020,M04,16.3
LAUMT063108000000003,2020,M03,6.1
LAUMT063108000000003,2020,M02,4.4
LAUMT063108000000003,2020,M01,4.4
LAUMT063108000000003,2019,M12,3.8
LAUMT063108000000003,2019,M11,3.9
LAUMT063108000000003,2019,M10,4.0
LAUMT063108000000003,2019,M09,4.0
LAUMT063108000000003,2019,M08,4.4
LAUMT063108000000003,2019,M07,4.5
LAUMT063108000000003,2019,M06,4.2
LAUMT063108000000003,2019,M05,3.7
LAUMT063108000000003,2019,M04,3.7
LAUMT063108000000003,2019,M03,4.1
LAUMT063108000000003,2019,M02,4.1
LAUMT063108000000003,2019,M01,4.6
LAUMT063108000000003,2018,M12,4.1
LAUMT063108000000003,2018,M11,4.0
LAUMT063108000000003,2018,M10,4.1
LAUMT063108000000003,2018,M09,4.2
LAUMT063108000000003,2018,M08,4.6
LAUMT063108000000003,2018,M07,4.7
LAUMT063108000000003,2018,M06,4.5
LAUMT063108000000003,2018,M05,3.8
LAUMT063108000000003,2018,M04,3.9
LAUMT063108000000003,2018,M03,4.1
LAUMT063108000000003,2018,M02,4.3
LAUMT063108000000003,2018,M01,4.5
LAUMT063108000000003,2017,M12,4.0
LAUMT063108000000003,2017,M11,4.1
LAUMT063108000000003,2017,M10,4.2
LAUMT063108000000003,2017,M09,4.4
LAUMT063108000000003,2017,M08,5.0
LAUMT063108000000003,2017,M07,5.1
LAUMT063108000000003,2017,M06,4.6
LAUMT063108000000003,2017,M05,4.2
LAUMT063108000000003,2017,M04,4.2
LAUMT063108000000003,2017,M03,4.5
LAUMT063108000000003,2017,M02,4.8
